AccountKey,AccountNumber,AccountName,Category_L1,Subcategory_L2,DetailGroup_L3,Region,Department,CashFlowSection,CashFlowLine,NormalBalance
6999-EXT-185,699185,Miscellaneous Operating Expense Line Item variant 185,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-186,699186,Miscellaneous Operating Expense Line Item variant 186,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-187,699187,Miscellaneous Operating Expense Line Item variant 187,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-188,699188,Miscellaneous Operating Expense Line Item variant 188,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-189,699189,Miscellaneous Operating Expense Line Item variant 189,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-190,699190,Miscellaneous Operating Expense Line Item variant 190,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-191,699191,Miscellaneous Operating Expense Line Item variant 191,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-192,699192,Miscellaneous Operating Expense Line Item variant 192,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-193,699193,Miscellaneous Operating Expense Line Item variant 193,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-194,699194,Miscellaneous Operating Expense Line Item variant 194,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-195,699195,Miscellaneous Operating Expense Line Item variant 195,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-196,699196,Miscellaneous Operating Expense Line Item variant 196,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-197,699197,Miscellaneous Operating Expense Line Item variant 197,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-198,699198,Miscellaneous Operating Expense Line Item variant 198,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-199,699199,Miscellaneous Operating Expense Line Item variant 199,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-200,699200,Miscellaneous Operating Expense Line Item variant 200,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-201,699201,Miscellaneous Operating Expense Line Item variant 201,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-202,699202,Miscellaneous Operating Expense Line Item variant 202,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-203,699203,Miscellaneous Operating Expense Line Item variant 203,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-204,699204,Miscellaneous Operating Expense Line Item variant 204,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-205,699205,Miscellaneous Operating Expense Line Item variant 205,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-206,699206,Miscellaneous Operating Expense Line Item variant 206,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-207,699207,Miscellaneous Operating Expense Line Item variant 207,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-208,699208,Miscellaneous Operating Expense Line Item variant 208,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-209,699209,Miscellaneous Operating Expense Line Item variant 209,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-210,699210,Miscellaneous Operating Expense Line Item variant 210,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-211,699211,Miscellaneous Operating Expense Line Item variant 211,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-212,699212,Miscellaneous Operating Expense Line Item variant 212,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-213,699213,Miscellaneous Operating Expense Line Item variant 213,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-214,699214,Miscellaneous Operating Expense Line Item variant 214,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-215,699215,Miscellaneous Operating Expense Line Item variant 215,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-216,699216,Miscellaneous Operating Expense Line Item variant 216,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-217,699217,Miscellaneous Operating Expense Line Item variant 217,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-218,699218,Miscellaneous Operating Expense Line Item variant 218,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-219,699219,Miscellaneous Operating Expense Line Item variant 219,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-220,699220,Miscellaneous Operating Expense Line Item variant 220,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-221,699221,Miscellaneous Operating Expense Line Item variant 221,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-222,699222,Miscellaneous Operating Expense Line Item variant 222,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-223,699223,Miscellaneous Operating Expense Line Item variant 223,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-224,699224,Miscellaneous Operating Expense Line Item variant 224,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-225,699225,Miscellaneous Operating Expense Line Item variant 225,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-226,699226,Miscellaneous Operating Expense Line Item variant 226,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-227,699227,Miscellaneous Operating Expense Line Item variant 227,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-228,699228,Miscellaneous Operating Expense Line Item variant 228,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-229,699229,Miscellaneous Operating Expense Line Item variant 229,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-230,699230,Miscellaneous Operating Expense Line Item variant 230,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-231,699231,Miscellaneous Operating Expense Line Item variant 231,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-232,699232,Miscellaneous Operating Expense Line Item variant 232,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-233,699233,Miscellaneous Operating Expense Line Item variant 233,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-234,699234,Miscellaneous Operating Expense Line Item variant 234,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-235,699235,Miscellaneous Operating Expense Line Item variant 235,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-236,699236,Miscellaneous Operating Expense Line Item variant 236,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-237,699237,Miscellaneous Operating Expense Line Item variant 237,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-238,699238,Miscellaneous Operating Expense Line Item variant 238,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-239,699239,Miscellaneous Operating Expense Line Item variant 239,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-240,699240,Miscellaneous Operating Expense Line Item variant 240,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-241,699241,Miscellaneous Operating Expense Line Item variant 241,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-242,699242,Miscellaneous Operating Expense Line Item variant 242,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-243,699243,Miscellaneous Operating Expense Line Item variant 243,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-244,699244,Miscellaneous Operating Expense Line Item variant 244,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-245,699245,Miscellaneous Operating Expense Line Item variant 245,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-246,699246,Miscellaneous Operating Expense Line Item variant 246,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-247,699247,Miscellaneous Operating Expense Line Item variant 247,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-248,699248,Miscellaneous Operating Expense Line Item variant 248,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-249,699249,Miscellaneous Operating Expense Line Item variant 249,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
7010-US,701001,Interest Income on Bank Accounts (United States),Revenue,Non-Operating Income,Financial Income,United States,Finance & Legal,Operating,Customer receipts and revenue activity,Credit
7010-CA,701002,Interest Income on Bank Accounts (Canada),Revenue,Non-Operating Income,Financial Income,Canada,Finance & Legal,Operating,Customer receipts and revenue activity,Credit
7010-UK,701003,Interest Income on Bank Accounts (United Kingdom),Revenue,Non-Operating Income,Financial Income,United Kingdom,Finance & Legal,Operating,Customer receipts and revenue activity,Credit
7010-EU,701004,Interest Income on Bank Accounts (Europe (Eurozone)),Revenue,Non-Operating Income,Financial Income,Europe (Eurozone),Finance & Legal,Operating,Customer receipts and revenue activity,Credit
7010-APAC,701005,Interest Income on Bank Accounts (Asia Pacific),Revenue,Non-Operating Income,Financial Income,Asia Pacific,Finance & Legal,Operating,Customer receipts and revenue activity,Credit
7020-GEN,702000,Gain/Loss on Sale of Fixed Assets,Revenue,Non-Operating Income,Other Income,Global,Corporate/HQ,Operating,Customer receipts and revenue activity,Credit
7510-GEN,751000,Interest Expense on Bank Loans,Expenses,Non-Operating Expenses,Financial Expenses,Global,Corporate/HQ,Financing,Interest paid or received,Debit
7520-GEN,752000,Foreign Exchange Gain/Loss,Expenses,Non-Operating Expenses,Financial Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
7810-GEN,781000,Corporate Income Tax Expense,Expenses,Tax Expense,Income Taxes,Global,Corporate/HQ,Operating,Tax payments and accruals,Debit
